Pathways	Ontology - direct parents of entity	Ontology - pathway type
PWY-7194	Pyrimidine-Nucleotide-Salvage // Super-Pathways	Nucleotide-Biosynthesis // Super-Pathways
PWY0-1466	Trehalose-Degradation	Carbohydrates-Degradation
PWY-7308	Acrylonitrile-Degradation	Other-Degradation
PWY-5776	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7220	Adenosine-Deoxy-Denovo-Bbiosynthesis	Nucleotide-Biosynthesis
PWY-7558	ALKALOIDS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6029	FLAVONOID-SYN // Metabolic-Clusters	Metabolic-Clusters // AROMATIC-COMPOUNDS-BIOSYN
PWY-7969	Adenosylcobamide-Biosynthesis	Cofactor-Biosynthesis
PWY-5420	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways
PWY-7898	Sulfur-Metabolism	Noncarbon-Nutrients
PWY-7573	GDP-Sugar-Biosynthesis	Carbohydrates-Biosynthesis
PWY-5654	CARBOXYLATES-DEG	CARBOXYLATES-DEG
PWY-6055	Dimethylsulfoniopropionate-Biosynthesis	Metabolic-Regulators
GLYCOLYSIS	GLYCOLYSIS-VARIANTS	Energy-Metabolism
PWY-6612	Folate-Biosynthesis // Super-Pathways	Cofactor-Biosynthesis // Super-Pathways
PWY-7455	Sterol-Biosynthesis	Lipid-Biosynthesis
PWY-7602	Eicosapentaenoate-Biosynthesis	Lipid-Biosynthesis
PWY-6441	SPERMINE-SPERMIDINE-DEG	AMINE-DEG
PWY-5795	QUINONE-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-7825	AROMATIC-COMPOUNDS-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7389	Fermentation // Super-Pathways	Energy-Metabolism // Super-Pathways
PWY-5433	FATTY-ACID-DERIVATIVE-SYN // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways
CO2FORM-PWY	C1-COMPOUNDS // METHANOGENESIS	Energy-Metabolism // C1-COMPOUNDS
PWY-7184	Metabolic-Clusters // Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	Metabolic-Clusters // Nucleotide-Biosynthesis
PWY-2821	GLUCOSINOLATE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5751	AROMATIC-COMPOUNDS-BIOSYN // PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-5947	C40-Carotenoids-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
POLYISOPRENSYN-PWY	Polyprenyl-Biosynthesis // Super-Pathways	Polyprenyl-Biosynthesis // Super-Pathways
PWY-7653	Antibiotic-Biosynthesis // POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
